request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_187,38212.61,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Pay INR 187,500 in full on 15 September 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,182.94,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,564.49,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,237.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,33.61,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,39449.03,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Pay INR 132,800 in full on 15 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,533.1,not_affordable,not_recommended,none,,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,21003347.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 May 2026. None of the available options keeps the IDR 17,304,500 minimum protected."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,577.44,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,6763.15,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3007761.86,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1585.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,973.25,affordable_with_plan,partial_payment,2026-04-06:973.25|2026-04-15:386.77,2026-04-15,none,"Pay USD 973.25 today and the remaining USD 386.77 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,344.75,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,7740030.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,2238.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. None of the available options keeps the USD 2,100 minimum protected."
request_214,38114.54,affordable_with_plan,partial_payment,2024-12-04:38114.54|2024-12-15:31635.46,2024-12-15,none,"Pay INR 38,114.54 today and the remaining INR 31,635.46 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,27479.65,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 July 2025. None of the available options keeps the ZAR 15,700 minimum protected."
request_216,470.09,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,19326.52,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,reduce_to:event_20045:663.30,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,27155291.7,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,1353.69,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,68.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,9883719.1,affordable_with_plan,partial_payment,2025-02-04:9883719.10|2025-02-15:443280.90,2025-02-15,none,"Pay IDR 9,883,719.10 today and the remaining IDR 443,280.90 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,10802370.99,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,17624.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,4588001.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,425.9,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,28955.56,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-15,reduce_to:event_21305:845.90,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,848.37,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,"Pay EUR 1,970.10 in full on 15 June 2024. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,313.97,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,6057746.37,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 6,057,746.37 is available today, the full amount cannot be completed safely within 90 days."
request_237,22267316.08,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,"Reduce the clothing and household items to IDR 548,720, then pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13746.71,affordable_with_plan,partial_payment,2026-01-06:13746.71|2026-03-15:87453.29,2026-03-15,none,"Pay INR 13,746.71 today and the remaining INR 87,453.29 on 15 March 2026. This completes the full request and keeps the INR 52,800 minimum protected."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,35866.3,affordable_later,wait,2025-11-15:128500,2025-11-15,none,"Pay INR 128,500 in full on 15 November 2025. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,936.79,affordable_with_plan,partial_payment,2025-02-07:936.79|2025-04-15:1028.81,2025-04-15,none,"Pay USD 936.79 today and the remaining USD 1,028.81 on 15 April 2025. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,100.7,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the USD 600 minimum protected.
request_250,15496.91,not_affordable,not_recommended,none,2025-02-15,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 15,496.91 is available today, the full amount cannot be completed safely within 90 days."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,5736572.94,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1373.03,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,881.4,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,1036639.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the IDR 9,813,900 minimum protected."
request_256,151729.69,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,385.73,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,454.47,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay EUR 935 in full on 15 October 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,7064309.39,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 7,064,309.39 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5721.43,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 5,721.43 is available today, the full amount cannot be completed safely within 90 days."
request_264,23028.78,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1644.54,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,stop:event_24573,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,1041.5,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,110.3,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,18092.15,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 15 November 2024. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,6015568.37,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9546276.09,affordable_with_plan,partial_payment,2026-04-07:9546276.09|2026-04-15:6314723.91,2026-04-15,none,"Pay IDR 9,546,276.09 today and the remaining IDR 6,314,723.91 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2214.72,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1,800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
